SUSP_SEX,SUSP_AGE_GROUP,SUSP_RACE,BORO_NM,OFNS_DESC,Date,Day of Week,Time of Day
F,45-64,BLACK,BRONX,PETIT LARCENY,2018-02-06,Tuesday,evening
F,25-44,WHITE HISPANIC,BROOKLYN,PETIT LARCENY,2018-11-21,Wednesday,midnight
M,25-44,WHITE HISPANIC,MANHATTAN,OFF. AGNST PUB ORD SENSBLTY &,2018-06-09,Saturday,evening
F,<18,BLACK HISPANIC,MANHATTAN,PETIT LARCENY,2018-11-10,Saturday,evening
M,25-44,BLACK,BRONX,CRIMINAL MISCHIEF & RELATED OF,2018-09-12,Wednesday,evening
M,45-64,WHITE HISPANIC,BRONX,ASSAULT 3 & RELATED OFFENSES,2018-08-04,Saturday,evening
U,25-44,BLACK,MANHATTAN,FELONY ASSAULT,2018-09-26,Wednesday,evening
M,25-44,WHITE HISPANIC,MANHATTAN,OFFENSES AGAINST PUBLIC ADMINI,2018-12-01,Saturday,afternoon
M,25-44,BLACK HISPANIC,BRONX,ROBBERY,2018-11-18,Sunday,afternoon
F,45-64,BLACK,BRONX,CRIMINAL MISCHIEF & RELATED OF,2018-02-23,Friday,afternoon
M,25-44,WHITE,BROOKLYN,PETIT LARCENY,2018-10-28,Sunday,morning
U,<18,BLACK,BRONX,OFF. AGNST PUB ORD SENSBLTY &,2018-05-07,Monday,afternoon
F,18-24,BLACK,QUEENS,HARRASSMENT 2,2018-12-08,Saturday,afternoon
F,25-44,BLACK,MANHATTAN,PETIT LARCENY,2018-06-22,Friday,evening
M,25-44,BLACK,BROOKLYN,SEX CRIMES,2018-09-18,Tuesday,evening
F,<18,WHITE HISPANIC,MANHATTAN,VEHICLE AND TRAFFIC LAWS,2018-04-18,Wednesday,evening
M,25-44,WHITE HISPANIC,BRONX,HARRASSMENT 2,2018-01-10,Wednesday,afternoon
F,25-44,BLACK,MANHATTAN,OTHER OFFENSES RELATED TO THEF,2018-05-24,Thursday,afternoon
M,25-44,BLACK,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,2018-08-22,Wednesday,evening
M,45-64,BLACK,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,2018-10-26,Friday,afternoon
F,18-24,WHITE,QUEENS,PETIT LARCENY,2018-12-09,Sunday,afternoon
M,25-44,BLACK,MANHATTAN,OFFENSES AGAINST PUBLIC ADMINI,2018-09-28,Friday,evening
M,25-44,BLACK,MANHATTAN,PETIT LARCENY,2018-05-07,Monday,afternoon
M,45-64,BLACK,BRONX,PETIT LARCENY,2018-05-03,Thursday,afternoon
F,25-44,BLACK,BROOKLYN,OFF. AGNST PUB ORD SENSBLTY &,2018-08-08,Wednesday,afternoon
M,25-44,BLACK,BROOKLYN,PETIT LARCENY,2018-10-29,Monday,afternoon
M,25-44,ASIAN / PACIFIC ISLANDER,QUEENS,HARRASSMENT 2,2018-06-07,Thursday,morning
F,45-64,WHITE HISPANIC,BROOKLYN,PETIT LARCENY,2018-06-12,Tuesday,evening
M,45-64,BLACK,QUEENS,HARRASSMENT 2,2018-08-08,Wednesday,morning
M,25-44,ASIAN / PACIFIC ISLANDER,BRONX,OFF. AGNST PUB ORD SENSBLTY &,2018-08-01,Wednesday,morning
M,18-24,BLACK,BROOKLYN,OFFENSES AGAINST PUBLIC ADMINI,2018-08-12,Sunday,midnight
M,<18,BLACK HISPANIC,BRONX,CRIMINAL MISCHIEF & RELATED OF,2018-06-14,Thursday,afternoon
M,25-44,BLACK,MANHATTAN,PETIT LARCENY,2018-02-14,Wednesday,midnight
M,45-64,BLACK,MANHATTAN,ROBBERY,2018-11-02,Friday,afternoon
M,25-44,WHITE,BRONX,DANGEROUS DRUGS,2018-04-06,Friday,afternoon
F,65+,BLACK,BRONX,PETIT LARCENY,2018-04-28,Saturday,morning
F,18-24,ASIAN / PACIFIC ISLANDER,BROOKLYN,OFF. AGNST PUB ORD SENSBLTY &,2018-03-01,Thursday,morning
M,25-44,BLACK,BRONX,DANGEROUS WEAPONS,2018-02-09,Friday,evening
M,<18,BLACK,MANHATTAN,HARRASSMENT 2,2018-02-12,Monday,evening
M,45-64,WHITE HISPANIC,BRONX,HARRASSMENT 2,2018-11-20,Tuesday,evening
F,25-44,WHITE,MANHATTAN,PETIT LARCENY,2018-10-25,Thursday,afternoon
M,18-24,BLACK,QUEENS,MISCELLANEOUS PENAL LAW,2018-01-13,Saturday,afternoon
F,25-44,WHITE HISPANIC,BROOKLYN,PETIT LARCENY,2018-09-28,Friday,afternoon
F,25-44,WHITE HISPANIC,STATEN ISLAND,HARRASSMENT 2,2018-06-16,Saturday,evening
F,25-44,BLACK,QUEENS,HARRASSMENT 2,2017-12-14,Thursday,morning
